song,stem,snr,target_dbrms,est_dbrms,dbdiff,variant,inference_mode,is_frozen,is_balanced,is_augmented,query_same
07fb2df2-91d6-458d-9230-9638b4edac08,bass_guitar,6.541401097944704,-37.14552879333496,-37.2329006443338,-0.0873718509988421,ev-d-pre,inference-d,N,N,N,diff.
07fb2df2-91d6-458d-9230-9638b4edac08,drums,12.867048274264375,-29.805870056152344,-29.95646087384126,-0.150590817688915,ev-d-pre,inference-d,N,N,N,diff.
07fb2df2-91d6-458d-9230-9638b4edac08,string_section,0.0987929413380516,-44.74593162536621,-66.81240977167673,-22.06647814631052,ev-d-pre,inference-d,N,N,N,diff.
07fb2df2-91d6-458d-9230-9638b4edac08,acoustic_guitar,2.160649402289072,-36.48179769515991,-38.03738559269272,-1.55558789753281,ev-d-pre,inference-d,N,N,N,diff.
07fb2df2-91d6-458d-9230-9638b4edac08,lead_male_singer,7.275047723002503,-35.46379327774048,-36.44117749403947,-0.9773842162989936,ev-d-pre,inference-d,N,N,N,diff.
07fb2df2-91d6-458d-9230-9638b4edac08,clean_electric_guitar,3.0103737532349983,-34.86035108566284,-39.53758287030608,-4.67723178464324,ev-d-pre,inference-d,N,N,N,diff.
07fb2df2-91d6-458d-9230-9638b4edac08,grand_piano,1.496125133302655,-39.38110828399658,-45.41999437300252,-6.038886089005935,ev-d-pre,inference-d,N,N,N,diff.
3c557409-3a34-43c2-9159-5421bbad5ecb,distorted_electric_guitar,6.346671868916138,-29.781432151794437,-30.94487651435587,-1.1634443625614352,ev-d-pre,inference-d,N,N,N,diff.
3c557409-3a34-43c2-9159-5421bbad5ecb,bass_guitar,8.735417923711852,-29.360768795013428,-29.71109827758342,-0.3503294825699932,ev-d-pre,inference-d,N,N,N,diff.
3c557409-3a34-43c2-9159-5421bbad5ecb,drums,8.831740736418558,-28.134984970092773,-29.02534914659928,-0.8903641765065053,ev-d-pre,inference-d,N,N,N,diff.
3c557409-3a34-43c2-9159-5421bbad5ecb,lead_male_singer,4.388495735064025,-35.71478605270386,-37.1460472348107,-1.4312611821068444,ev-d-pre,inference-d,N,N,N,diff.
