song,stem,snr
35983cdd-3903-46cb-b184-f96274ced57b,drums,12.86099791986442
35983cdd-3903-46cb-b184-f96274ced57b,vdbo_others,3.4011761527284334
35983cdd-3903-46cb-b184-f96274ced57b,vocals,7.115874617070701
3e656eec-84d4-4a45-b410-d3817d849f92,bass,6.314377243804775
3e656eec-84d4-4a45-b410-d3817d849f92,drums,8.706971618023434
3e656eec-84d4-4a45-b410-d3817d849f92,vdbo_others,6.99650991401877
3e656eec-84d4-4a45-b410-d3817d849f92,vocals,8.24805693008489
7dd515b0-e218-425d-b8bf-a75056237d6a,bass,
7dd515b0-e218-425d-b8bf-a75056237d6a,drums,
7dd515b0-e218-425d-b8bf-a75056237d6a,vdbo_others,13.91999239900079
7dd515b0-e218-425d-b8bf-a75056237d6a,vocals,16.40524479948602
5a6df5c7-a58a-479e-bdfb-c5946c221933,bass,11.21472761615194
5a6df5c7-a58a-479e-bdfb-c5946c221933,drums,12.070488614300617
5a6df5c7-a58a-479e-bdfb-c5946c221933,vdbo_others,5.3374691260085125
5a6df5c7-a58a-479e-bdfb-c5946c221933,vocals,10.005614041598037
bb45cf1a-4c58-4fe3-88ea-97ef27527507,bass,9.900202093755336
bb45cf1a-4c58-4fe3-88ea-97ef27527507,drums,12.091459898374232
bb45cf1a-4c58-4fe3-88ea-97ef27527507,vdbo_others,6.340973790332648
bb45cf1a-4c58-4fe3-88ea-97ef27527507,vocals,9.170644749209236
125fc63d-9b69-4170-a46a-42c91bc28446,bass,12.191349999480956
125fc63d-9b69-4170-a46a-42c91bc28446,drums,8.565467340702986
125fc63d-9b69-4170-a46a-42c91bc28446,vdbo_others,8.860756794483633
125fc63d-9b69-4170-a46a-42c91bc28446,vocals,11.346588419708182
06bfc6e7-e5ac-4827-bf8e-ffaf1675872f,bass,14.33276696867174
06bfc6e7-e5ac-4827-bf8e-ffaf1675872f,drums,9.26535785760546
06bfc6e7-e5ac-4827-bf8e-ffaf1675872f,vdbo_others,9.863678023975638
06bfc6e7-e5ac-4827-bf8e-ffaf1675872f,vocals,13.361815037485531
a1dcaeb2-f4e6-4818-b490-09f44d624afc,bass,11.079902745503752
a1dcaeb2-f4e6-4818-b490-09f44d624afc,drums,9.341384947928418
a1dcaeb2-f4e6-4818-b490-09f44d624afc,vdbo_others,5.420508127624112
a1dcaeb2-f4e6-4818-b490-09f44d624afc,vocals,10.434175362561477
dda2c057-6d73-43fa-a130-d7d6562c09ca,bass,12.618177587810507
dda2c057-6d73-43fa-a130-d7d6562c09ca,drums,12.946732554797757
dda2c057-6d73-43fa-a130-d7d6562c09ca,vdbo_others,9.320957506631942
dda2c057-6d73-43fa-a130-d7d6562c09ca,vocals,7.465651471769372
aa600069-0a98-45e6-94fa-4000bfe46c25,bass,10.58853378061967
aa600069-0a98-45e6-94fa-4000bfe46c25,drums,12.593067774134814
aa600069-0a98-45e6-94fa-4000bfe46c25,vdbo_others,6.705943878330581
aa600069-0a98-45e6-94fa-4000bfe46c25,vocals,10.00676377701016
3c3b5fdb-f15e-4ba4-884a-b083ce2426c6,bass,12.638726403830722
3c3b5fdb-f15e-4ba4-884a-b083ce2426c6,drums,10.56419722571776
3c3b5fdb-f15e-4ba4-884a-b083ce2426c6,vdbo_others,4.933066910722564
3c3b5fdb-f15e-4ba4-884a-b083ce2426c6,vocals,8.202353121239302
8f36f17f-c033-4c1b-a793-80dce43d507b,bass,10.604772543471519
8f36f17f-c033-4c1b-a793-80dce43d507b,drums,7.292134692448958
8f36f17f-c033-4c1b-a793-80dce43d507b,vdbo_others,7.6120823303305585
8f36f17f-c033-4c1b-a793-80dce43d507b,vocals,10.576549041876643
7bfa233c-24ed-4c7a-9096-11e3aa00c55d,bass,12.022795905781162
7bfa233c-24ed-4c7a-9096-11e3aa00c55d,drums,11.779643661186567
7bfa233c-24ed-4c7a-9096-11e3aa00c55d,vdbo_others,7.787645716760845
7bfa233c-24ed-4c7a-9096-11e3aa00c55d,vocals,10.275478502010904
ad9bbefc-8762-46c9-b847-da14b10802b6,bass,8.523798709484641
ad9bbefc-8762-46c9-b847-da14b10802b6,drums,10.625065458512683
ad9bbefc-8762-46c9-b847-da14b10802b6,vdbo_others,6.989394860061848
ad9bbefc-8762-46c9-b847-da14b10802b6,vocals,7.101300484349071
8042b88a-6179-406b-9ec4-b45a4cdd4a71,bass,12.069401087884549
8042b88a-6179-406b-9ec4-b45a4cdd4a71,drums,7.987014177675387
8042b88a-6179-406b-9ec4-b45a4cdd4a71,vdbo_others,3.975417466302986
8042b88a-6179-406b-9ec4-b45a4cdd4a71,vocals,7.413507786962019
05e7af85-9721-4b42-952a-ccd34feb6033,bass,9.050417921653123
05e7af85-9721-4b42-952a-ccd34feb6033,drums,9.195933534116623
05e7af85-9721-4b42-952a-ccd34feb6033,vdbo_others,7.29653169005279
05e7af85-9721-4b42-952a-ccd34feb6033,vocals,7.955485959091263
4380ad97-2620-4419-a011-ddfa29a87f54,bass,10.92075802242527
4380ad97-2620-4419-a011-ddfa29a87f54,drums,14.987461612721205
4380ad97-2620-4419-a011-ddfa29a87f54,vdbo_others,6.208313835194199
4380ad97-2620-4419-a011-ddfa29a87f54,vocals,7.959676414328319
fc3c9e48-e2ac-4088-af65-68404baa7f12,bass,11.79039824146921
fc3c9e48-e2ac-4088-af65-68404baa7f12,drums,10.88617414280515
fc3c9e48-e2ac-4088-af65-68404baa7f12,vdbo_others,5.630862814916701
fc3c9e48-e2ac-4088-af65-68404baa7f12,vocals,9.253006011781261
c70471f9-9c4a-41c9-b8f8-20ac38847a8e,bass,10.28147465173305
c70471f9-9c4a-41c9-b8f8-20ac38847a8e,drums,11.319075176642382
c70471f9-9c4a-41c9-b8f8-20ac38847a8e,vdbo_others,10.938610692425282
c70471f9-9c4a-41c9-b8f8-20ac38847a8e,vocals,9.360401722711805
adb5e3fd-d039-42e4-b09b-fd0784fa0c82,bass,7.584573280100775
adb5e3fd-d039-42e4-b09b-fd0784fa0c82,drums,8.285442210328396
adb5e3fd-d039-42e4-b09b-fd0784fa0c82,vdbo_others,2.6799106367733794
adb5e3fd-d039-42e4-b09b-fd0784fa0c82,vocals,8.242230499846269
6b48c9de-fa34-4635-9718-04e01a03a0fe,bass,10.040785408045238
6b48c9de-fa34-4635-9718-04e01a03a0fe,drums,6.2966468149370804
6b48c9de-fa34-4635-9718-04e01a03a0fe,vdbo_others,7.17126641577745
6b48c9de-fa34-4635-9718-04e01a03a0fe,vocals,7.895043427852081
a56d9450-3a26-485c-8ac3-24b6b54e2c1d,bass,16.179766907077248
a56d9450-3a26-485c-8ac3-24b6b54e2c1d,drums,12.425224320569408
